,Information Technology,Financials,Health Care,Consumer Discretionary,Industrials,Energy,Consumer Staples,Materials,Utilities,Telecommunication Services
2023-03-31 00:00:00,2638.98,535.28,1510.73,1163.98,856.59,634.9,780.38,507.92,344.01,191.53
2023-04-03 00:00:00,2637.78,536.36,1527.04,1153.35,858.21,666.07,784.39,511.23,341.52,192.54
2023-04-04 00:00:00,2622.43,530.93,1527.4,1152.52,838.88,654.61,782.48,503.73,343.3,193.13
2023-04-05 00:00:00,2591.17,530.18,1553.83,1129.03,827.97,663.91,786.82,502.61,352.13,192.71
2023-04-06 00:00:00,2608.75,531.81,1557.33,1129.59,827.76,654.14,787.45,501.51,354.72,196
2023-04-10 00:00:00,2604.91,533.25,1556.75,1134.39,835.19,658.37,787.34,503.98,354.01,194.65
2023-04-11 00:00:00,2578,537.78,1561.36,1134.57,840.11,664.24,789.24,507.65,354.24,193.82
2023-04-12 00:00:00,2562.26,536.69,1561.6,1117.09,842.91,664.99,785.7,508,353.83,192.09
2023-04-13 00:00:00,2612.33,541.3,1580.81,1142.93,846.09,669.04,790.06,513.11,353.91,196.57
2023-04-14 00:00:00,2599.12,547.01,1568.38,1144.4,845.07,670.32,785.47,509.65,349.97,197.18
2023-04-17 00:00:00,2609.33,553.18,1566.76,1152.15,851.74,661.8,790.1,512.64,351.97,194.68
2023-04-18 00:00:00,2619.95,554.91,1556.5,1153.59,855.69,664.75,792.68,514.68,350.17,193.42
2023-04-19 00:00:00,2616.53,556.33,1560.92,1153.85,855.09,663.08,792.29,513.07,352.91,192.02
2023-04-20 00:00:00,2596.7,554.56,1554.15,1136.78,853.51,657.19,792.75,512.69,352.72,190.55
2023-04-21 00:00:00,2587.05,552.37,1564.68,1150.47,851.44,653.3,798.68,508.05,353.78,191.16
2023-04-24 00:00:00,2576.08,551.26,1573.41,1149.64,853.37,663.35,801.87,511.57,355.54,191.14
2023-04-25 00:00:00,2522.36,541.55,1556.86,1126.1,837.71,651.16,800.94,500.58,355.2,188.12
2023-04-26 00:00:00,2566.05,536.37,1534.96,1121.81,822.05,642.83,795.05,494.68,346.78,186.95
2023-04-27 00:00:00,2621.78,544.95,1542.8,1152.85,838.37,645.68,803.31,501.4,350.94,197.28
2023-04-28 00:00:00,2649.95,551.42,1555.39,1152.42,846.11,655.2,807.2,507.06,350.26,198.35
